New column 0,New column 1,New column 2
PERIANAYAGASAMY,Reviewed in India on 30 August 2020,Ink don't enough for printing more pages shall I return it it is not in use now the ink price also very high shall I exchange it for some other type printer
Umamohan,Reviewed in India on 8 January 2023,Product
Mukesh,Reviewed in India on 20 August 2020,Ink cartridge come with Printer got emptied very soon
N.Subramanian,Reviewed in India on 26 June 2019,"Cartridge and out put is expensive , the basic cost of product is fine ."
Niranjan Sinha,Reviewed in India on 16 February 2020,Not very extra ordinary..!! But good to use..!!
m praveen,Reviewed in India on 26 October 2019,"I fitted ink tank to this printer externally, since catridge is expensive."
Amazon Customer,Reviewed in India on 28 June 2021,Loved the printer. It is exactly as per the description. Prints really well. Value for money. Easy to assemble. Using it regularly now. Would highly recommend it.
KAMESH CHANDRA,Reviewed in India on 25 February 2021,Good
Amazon Customer,Reviewed in India on 10 September 2020,"Please don't buy this printer seeing the cost. The cartridges finished super fast and absolutely does not work if you try to refill it back. The cartridge is of course qay expensive. We already had a hp printer but after a while you obviously don't get the cartridge (ploy to sell new models understood). Got this one for OCCASIONAL printing, but now having a bad headache coz of it. Less than a star."
Muzu Safan,Reviewed in India on 7 March 2020,Good.. Nice product. But cartridge cost is high only 150 papers is not worth for money
Chidanand B G,Reviewed in India on 11 December 2021,"Print quality is excellent, easy to install and easy to use. Thank you Amazon. It's really worth."
Gopalakrishnan K.V,Reviewed in India on 27 August 2018,The product is great. Produces nice and crisp prints. The only downside is the cost of the cartridges. End of the day you will be spending more on the cartridges than the printer.
Manish K.,Reviewed in India on 3 January 2021,"Ink dries quickly in a week if stop using.
Print cost is very high it is thrice than what you print or copy than outside shop."
Tamil,Reviewed in India on 14 August 2020,Everything okay. Really good. Only the cartridge is expensive
Siddhesh vadke,Reviewed in India on 14 May 2022,I like this Hp
Simadrireddy,Reviewed in India on 17 November 2021,Nil
Rahul,Reviewed in India on 24 February 2021,Good
Ayush Saxena,Reviewed in India on 1 September 2021," There is no CD available in the box which is very unexpected.
Printer is OK but installing take so much time."
Sajewan Singh,Reviewed in India on 28 September 2021," I tried it many to ,but it didnot work ,then i call amazon customer care they said after 2 to 3 daya pickup. And when the item is arrived at warehouse a new printer is dispatch. The printer is not good but amazon is good app to purchase."
Mohit P.,Reviewed in India on 17 November 2018,Cartridge life is very short and replacement of cartridge is costly compared to other local printer cartridge...not suitable for heavy use
Ganesh Unnikochan,Reviewed in India on 6 December 2020,Print quality is ok
Amazon Customer,Reviewed in India on 4 May 2020,It prints 80-100 pages in very good condition. But not works after printing 100 pages. It's cartridge damages. You have to buy new cartridge . So don't buy this printer. You can buy Epson printer of cost around 7000.
Jofson,Reviewed in India on 19 July 2019,"Best in this cost range.. Good quality print.. But the problem is ink refills cost, which is higher compared to other type of laser jet printers."
ABI TRUVIEW,Reviewed in India on 29 January 2021,Fine Product....
nsk,Reviewed in India on 27 January 2020,"I have to unplug every time it stops printing in the middle.of the job, dust sensitive. Otherwise serves its purpose."
Ghanashyam N.,Reviewed in India on 5 March 2020,The ink cartridge is too small. And I am finding it very difficult in getting a colour cartridge.
Muntasir,Reviewed in India on 9 August 2020,"Nice product. As usual printing cost will be high, though i bought it for scanning purpose. Okay for a4 size paper scanning but can't handle a3 or larger. At 300 dpi b/w scanning takes approx 10 second."
Anup Kumar Mondal,Reviewed in India on 5 September 2020,"Easy to use and print quality is very good with the hp cartridges supplied with deskjet 2131 printer, waiting for how long it will better serve in future. It should be better If software driver was associated with the product."
Mohsin S,Reviewed in India on 12 October 2017,"I recived product on time its nice slim color quality is good value for money for normal office use copy scan and print works great

it can deliver or print around 90-100 pages i believe then you have to fill ink in cartridge."
vaitheeswaran,Reviewed in India on 16 July 2021,"this product was not good,,i used only one week then the catridge failed,, and the print was not in good quality,,,i really dislike this item ...pls re take the product i dont need money,, pls re take ur product. and once advice dont sell this type of printers and dont spoil the amazon name"
Manoranjan,Reviewed in India on 7 November 2020,Good one for home use
Yash,Reviewed in India on 4 November 2018,This Product is Good But 3 4 months after this printer is not working . ☺☺☺ He Can do 200 pages
Benadik,Reviewed in India on 7 November 2019,"the package met my expectation. it was very easy to install and comfortable to use. the only problem is the cost of the cartridges, it was costly. by viewing the previous reviews and all i understood to refill the cartridge easily with low investment. now it's only below 1 rupee per page for b&w. i love this product."
Narasimman S,Reviewed in India on 16 November 2022,They send old stock or used stock poor product.
Satyandhar Jain,Reviewed in India on 26 November 2019,"it was not printing even, I was trying all the customer numbers of HP but no number was working and I have registered online complain also but no reply.

it wasted my 4 days, in downloading software, installing, uninstalling but nothing worked out."
Tarun,Reviewed in India on 12 January 2021,Nice experience
Fuji,Reviewed in India on 21 August 2022,"Delivered a used/ defective printer, there were empty catridges installed. There are ink marks on the tray.None of the functions working. Clear case of cheating"
VENKATESH G.,Reviewed in India on 18 June 2022,Good
Avinash,Reviewed in India on 30 December 2017,The printr is good but ink cartridges is wast why because just only 40 pages the cartridge empty so thats why iam return the printer and cartridge
Amazon Customer,Reviewed in India on 2 January 2023,Disliked
Nasiruddin M.,Reviewed in India on 8 February 2021,good!
Pavithra,Reviewed in India on 28 June 2021,Frequent change of cartridge.. need to be changed for every 3 pages
Priya Maurya,Reviewed in India on 9 November 2018,"It's printing quality is good but everytime there is a lot of problem while reusing it.
When I go to the service center of HP when there is some problem there is no response and I have to get it repaired outside in market while it is in guarantee period of 4 years"
Aditya S.,Reviewed in India on 27 August 2020,Very bad product . it worked three days correctly and then it showed that paper jam and ink is low but ink is available on the printer . DON'T BUY THIS PRODUCT
GEETH,Reviewed in India on 15 January 2018,"This printer is very compact and portable.Useage is very easy and simple.only had difficult to set the quality option & number of pages manual.I could adjust using system only not photocopy, scanning is still ???. Overall an average printer"
Ashok,Reviewed in India on 2 April 2022,Very Nice Printer and printing is very good quality
Hrithik,Reviewed in India on 4 February 2019,NICE PRINT OUT BUT... I RECEIVED WITH NO INK BOTTLES.. AND ALSO INK GETTING DRY VERY FAST
Apoorva Survase,Reviewed in India on 13 January 2020,Best for home printing. I'm really enjoying printing on this printer. It's really good & totally worth the cost.
Alpesh R Patel,Reviewed in India on 8 August 2021,Bad printing quality. BnW output has dotted lines
